start_time,end_time,duration_hours,sleep_stage
2026-01-01 08:58:43 -0800,2026-01-01 09:00:43 -0800,0.0333,Awake
2026-01-01 09:00:43 -0800,2026-01-01 09:44:34 -0800,0.7308,Core Sleep
2026-01-01 09:44:34 -0800,2026-01-01 09:56:02 -0800,0.1911,Awake
2026-01-01 09:56:02 -0800,2026-01-01 10:06:30 -0800,0.1744,Core Sleep
2026-01-01 10:06:30 -0800,2026-01-01 10:30:55 -0800,0.4069,REM Sleep
2026-01-01 10:30:55 -0800,2026-01-01 10:31:25 -0800,0.0083,Core Sleep
2026-01-01 10:31:25 -0800,2026-01-01 10:33:24 -0800,0.0331,Awake
2026-01-01 10:33:24 -0800,2026-01-01 11:00:19 -0800,0.4486,Core Sleep
2026-01-01 11:00:19 -0800,2026-01-01 11:07:18 -0800,0.1164,Awake
2026-01-01 11:07:18 -0800,2026-01-01 11:39:41 -0800,0.5397,Core Sleep
2026-01-01 11:39:41 -0800,2026-01-01 11:58:07 -0800,0.3072,REM Sleep
2026-01-02 02:23:18 -0800,2026-01-02 02:39:15 -0800,0.2658,Core Sleep
2026-01-02 02:39:15 -0800,2026-01-02 03:06:09 -0800,0.4483,Deep Sleep
2026-01-02 03:06:09 -0800,2026-01-02 03:06:39 -0800,0.0083,Awake
2026-01-02 03:06:39 -0800,2026-01-02 03:16:37 -0800,0.1661,Core Sleep
2026-01-02 03:16:37 -0800,2026-01-02 03:18:07 -0800,0.0250,Deep Sleep
2026-01-02 03:18:07 -0800,2026-01-02 04:02:28 -0800,0.7392,Core Sleep
2026-01-02 04:02:28 -0800,2026-01-02 04:10:56 -0800,0.1411,Deep Sleep
2026-01-02 04:10:56 -0800,2026-01-02 04:22:24 -0800,0.1911,Core Sleep
2026-01-02 04:22:24 -0800,2026-01-02 04:24:53 -0800,0.0414,Deep Sleep
2026-01-02 04:24:53 -0800,2026-01-02 05:10:44 -0800,0.7642,Core Sleep
2026-01-02 05:10:44 -0800,2026-01-02 05:32:39 -0800,0.3653,REM Sleep
2026-01-02 05:32:39 -0800,2026-01-02 05:34:09 -0800,0.0250,Awake
2026-01-02 05:34:09 -0800,2026-01-02 05:50:36 -0800,0.2742,REM Sleep
2026-01-02 05:50:36 -0800,2026-01-02 05:51:36 -0800,0.0167,Awake
2026-01-02 05:51:36 -0800,2026-01-02 06:35:27 -0800,0.7308,Core Sleep
